,,DESCENDENCIA EJEMPLAR,,,,,,,
,REGISTRO:,193844,,,,,,,
,NOMBRE:,ONIX (FC),,,,,,,
REGISTRO,NOMBRE,FECHA_NTO,COLOR,SEXO,MICROCHIP,GENO,ANDAR,PADRE/MADRE,
REGISTRO0,NOMBRE,FECHA_NTO,COLOR,SEXO,MICROCHIP,GENO,ANDAR,PADRE/MADRE0
780700,GUACA DE RANCHO LA FE,16/03/2015,CASTAÑO,HEMBRA,AVID*601*876*348,GD,P3,2175140
780800,SUEÑO DE JULIETA DEL ANTOJO,02/04/2018,CASTAÑO,HEMBRA,AVID*602*058*580,GD,P3,1968520
781010,RETADOR DE V Y P,05/01/2018,CASTAÑO,MACHO,AVID*601*620*561,GD,P3,2629350
781150,FORTUNA DE RANCHO LA FE,23/03/2016,CASTAÑO,HEMBRA,AVID*603*289*892,GD,P3,2319100
781200,SIMEONA DE RANCHO GUANAJUATO,14/02/2019,CASTAÑO,HEMBRA,978101082351384,GD,P3,1692520
781210,ONAXIS DE BUENAVISTA,31/03/2019,CASTAÑO,MACHO,978101082351314,GA,P3,2131920
839550,PRESAGIO DEL DIAMANTE,26/01/2011,CASTAÑO,MACHO,AVID*065*798*368,GD,P3,2069600
840410,TRONADOR DE SANTA LUCIA,13/09/2009,CASTAÑO,MACHO,AVID*071*821*857,GD,P1,813540
840530,DANDY DE LOS SAUCES,15/01/2012,CASTAÑO,MACHO,AVID*071*814*841,GD,P3,2068710
840560,GITANA DE LA CAMPANA,07/10/2011,CASTAÑO,HEMBRA,AVID*066*815*060,GD,P1,1112470
842990,MIGUEL ANGEL DE LA CABAÑA,08/06/2011,CASTAÑO,MACHO,AVID*010*075*006,GD,P2,830090
843040,PRINCESA DE VILLA LUISA,17/03/2012,CASTAÑO,HEMBRA,AVID*010*059*338,GD,P3,2291640
843270,PREDILECTA DEL GRAN CHAPARRAL,20/01/2013,CASTAÑO,HEMBRA,AVID*010*054*566,GD,P3,822410
843420,MINI ONIX DE LA LINDA,20/08/2012,ZAINO,HEMBRA,AVID*010*055*868,GN,P3,2254250
843800,FANTASTICA DE LOS TURCOS,05/07/2013,BAYO,HEMBRA,AVID*010*062*278,GD,P3,2268640
843880,RONDALLA DEL JARDIN,12/12/2013,NARANJUELOHEMBRA,,AVID*010*044*070,GD,P3,1039760
843920,PRESUMIDO DE LOS LAGOS,28/05/2013,BAYO,MACHO,AVID*013*107*514,GD,P2,2429140
844440,INVICTUS,05/04/2012,NARANJUELOMACHO,,AVID*013*110*032,GD,P3,2285270
844580,777 DE LOS BARCOS,05/04/2012,CASTAÑO,MACHO,AVID*015*551*038,GD,P3,840450
REGISTRO0,NOMBRE,,FECHA_NTO,COLOR,SEXO,MICROCHIP,GENO,ANDAR0
844650,REINA DE CORAZONES DE LOS TURCOS,,30/04/2013,BAYO,HEMBRA,AVID*010*075*378,GD,P30
845650,BOCHINCHE DEL SOCORRO,,31/10/2011,CASTAÑO,MACHO,AVID*021*560*365,GD,P30
845870,ADMIRABLE DE VERACRUZ,,04/06/2012,CASTAÑO,MACHO,AVID*013*107*054,GD,P30
845970,SAFIRO DE EL ENCUENTRO,,10/06/2010,CASTAÑO,MACHO,AVID*021*776*819,GD,P10
846740,CORTOMETRAJE DE VILLA ELY,,05/08/2012,CASTAÑO,MACHO,AVID*013*107*374,GD,P30
846820,ROMMEL DE SOPLAVIENTO,,17/10/2011,CASTAÑO,MACHO,AVID*020*117*616,GD,P30
846940,ENOLA DE ALEJADRIA,,07/02/2012,CASTAÑO,HEMBRA,AVID*020*115*539,GD,P30
847220,INSTINTO DEL DIAMANTE,,21/03/2013,CASTAÑO,MACHO,AVID*020*118*795,GD,P30
848050,MARQUEZA,,25/09/2013,CASTAÑO,HEMBRA,AVID*040*822*613,GD,P30
848660,TEMOR DE CAMPO ALEGRE,,18/04/2014,CASTAÑO,MACHO,AVID*040*109*050,GD,P30
848800,AMBAR DE CUERNAVACA,,20/11/2013,ALAZAN,MACHO,AVID*028*626*322,GD,P30
849120,CUARZO DE LOS,HERNANDEZ,12/02/2014,CASTAÑO,MACHO,AVID*040*831*528,GD,P30
849320,NAZARENO DE SAN MIGUEL,,18/06/2013,CASTAÑO,MACHO,AVID*014*876*555,GD,P30
849610,MAGIA DE CAÑO LINDO,,23/09/2012,CASTAÑO,HEMBRA,AVID*013*263*879,GD,P10
849640,DON ANTONIO DE LA RELIQUIA (AVID*040*860*513),,06/09/2013,CASTAÑO,MACHO,AVID*040*041*283,GD,P10
849740,PERPETUO DE LAS NEREIDAS,,08/09/2012,CERVUNO,MACHO,AVID*040*845*638,GD,P30
849850,ZAFIRO DE ORO NEGRO,,27/04/2015,CASTAÑO,MACHO,AVID*040*823*841,GD,P30
849870,SHANGAY DE LA MIRRANGA,,30/06/2013,CASTAÑO,HEMBRA,AVID*013*113*563,GD,P30
849940,ENCANTO DE 4L,,06/01/2015,BAYO,MACHO,AVID*040*824*375,GD,P30
849980,DINASTIA DEL ARCE,,15/06/2014,CASTAÑO,HEMBRA,AVID*040*820*282,GD,P30
897550,SAYONARA DE LA TOMASA,,15/08/2012,CASTAÑO,HEMBRA,AVID*008*605*006,GD,P30
897730,PRESAGIO DEL ENCANTO,,15/04/2013,CASTAÑO,MACHO,AVID*066*847*852,GD,P30
899600,ZEUS DE LA PRIMAVERA,,12/05/2013,CASTAÑO,MACHO,AVID*015*594*623,GD,P30
1127630,ALEJANDRO DE NAZARETH,,02/03/2013,CASTAÑO,MACHO,AVID*008*587*542,GD,P20
1127690,REY DE HACIENDA NACARI,,27/06/2010,ZAINO,MACHO,AVID*009*040*296,GD,P30
1127740,VENDIMIA DEL AMOR DE DIOS,,06/03/2013,CASTAÑO,HEMBRA,AVID*008*589*379,GD,P30
1128130,PENELOPE II DE VILLA ENOJO,,20/10/2012,CASTAÑO,HEMBRA,AVID*010*600*034,GD,P30
1128300,PERSEO DE VILLA PARAISO,,21/10/2012,CASTAÑO,MACHO,AVID*010*065*009,GD,P20
1128670,GOTA FRIA DE SAN PEDRO,,06/06/2012,CASTAÑO,HEMBRA,AVID*010*066*577,GD,P30
1130020,PRELUDIO DE MI CAPRICHO,,15/01/2012,CASTAÑO,MACHO,AVID*015*553*301,GD,P30
1130690,MOZO DEL BURRO,,16/07/2012,CASTAÑO,MACHO,AVID*008*582*792,GD,P30
1130760,SENSACIÓN DE LOS POTROS,,27/05/2013,CASTAÑO,HEMBRA,AVID*022*357*625,GD,P30
1131800,SALOMON DE LA FORTUNA,,01/08/2015,CASTAÑO,MACHO,AVID*839*010*281,GD,P30
